category_key,term,weighted_score
032009,챙기다,41.87499999999996
032009,먹기,34.94499999999999
032009,편하다,28.508999999999997
032009,꾸준하다,25.656999999999986
032009,아이,24.515000000000015
032009,주문,22.952000000000005
032009,사다,20.388999999999996
032009,받다,19.297
032009,들다,17.498
032009,효과,17.377000000000002
032009,선물,17.068000000000012
032009,되어다,14.297999999999991
032009,양제,14.128999999999998
032009,가다,14.046
032009,작다,13.86
032009,크기,13.539000000000001
032009,알약,13.171999999999999
032009,하루,13.139000000000001
032009,쇼핑,12.703999999999999
032009,떨리다,12.169999999999998
032009,나다,12.035000000000002
032009,아니다,11.893999999999997
032009,좋아하다,11.831000000000001
032009,건강,11.813000000000002
032009,오다,11.761
032009,크다,11.620000000000003
032009,상품,10.49699999999999
032009,성분,10.420999999999998
032009,해봤다,10.105
032009,드리다,9.682999999999996
032009,재다,9.578
032009,저렴하다,9.482000000000001
032009,한번,9.478999999999997
032009,오메가,9.468000000000002
032009,섭취,9.427999999999997
032009,보고,9.366999999999997
032009,함량,9.364999999999998
032009,감사하다,8.536999999999997
032009,제일,8.03
032009,깔끔하다,7.926999999999999
032009,복용,7.731999999999999
032009,모르다,7.638
032009,종이,7.504999999999998
032009,넘김,7.452999999999999
032009,필요하다,7.418999999999999
032009,냄새,7.37
032009,빠르다,7.34
032009,많다,7.156
032009,계속,6.955
032009,간편하다,6.808999999999996
