category_final,price_from,price_to,price_bin_center,mean_value_index,sample_count,top5_terms
기타/기타영양,18500,19000,18750,5.291005291005291e-05,10,"함량, 도스, 감기, 임신, 피로"
멀티비타민,10500,11000,10750,9.174311926605505e-05,10,"먹어주다, 달다, 허다, 랜드, 시간"
비타민C,5500,6000,5750,0.0001818181818181818,10,"모양, 다르다, 부드럽다, 조카, 설탕"
비타민D,8500,9000,8750,0.00011235955056179776,10,"함량, 코피, 비교, 손톱, 오메가"
오메가3/오일,39500,40000,39750,2.506265664160401e-05,10,"오메가, 생선, 피부, 건조하다, 부드럽다"
유산균/프로바이오틱스,62000,62500,62250,1.6129032258064517e-05,10,"유산균, 아침, 화장실, 공복, 찾아보다"
철분/혈건강,49500,50000,49750,2.004008016032064e-05,10,"평소, 두통, 대서, 먹어주다, 야하다"
칼슘/마그네슘/아연/K2,12500,13000,12750,7.866391977084455e-05,20,"예전, 이완, 자고, 신경, 최근"
