토큰A,토큰B,co,dfA,dfB,cosine,jaccard,pmi,npmi
부산,양산,3,3,3,0.9999999996666666,0.9999999996666666,3.3692338096657193,1.0
부산,구역,3,3,3,0.9999999996666666,0.9999999996666666,3.3692338096657193,1.0
유러,피안,3,3,3,0.9999999996666666,0.9999999996666666,3.3692338096657193,1.0
구역,양산,3,3,3,0.9999999996666666,0.9999999996666666,3.3692338096657193,1.0
단백,식스,3,3,3,0.9999999996666666,0.9999999996666666,3.3692338096657193,1.0
포켓,그린,2,2,2,0.9999999995,0.9999999995,3.9541963103868754,1.0
세종,대전,4,5,4,0.8944271907999158,0.79999999984,2.6322682154995127,0.8910268441689294
천안,아산,4,5,4,0.8944271907999158,0.79999999984,2.6322682154995127,0.8910268441689294
데이,정기권,3,4,3,0.8660254035344387,0.7499999998125,2.9541963103868754,0.8768154652585473
대전,계룡,3,4,3,0.8660254035344387,0.7499999998125,2.9541963103868754,0.8768154652585473
아침,포케,2,3,2,0.8164965805943928,0.6666666664444444,3.3692338096657193,0.8520653870460154
점심,아침,2,2,3,0.8164965805943928,0.6666666664444444,3.3692338096657193,0.8520653870460154
직장인,단백질,4,5,5,0.79999999984,0.6666666665555555,2.3103401206121505,0.782053688337859
단백질,식스,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
직장인,식스,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
직장인,단백,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
야채,피안,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
세종,계룡,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
단백질,단백,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
야채,유러,3,5,3,0.7745966690414834,0.59999999988,2.6322682154995127,0.781266116927835
코스,월수,2,5,2,0.6324555318336759,0.39999999992,2.6322682154995127,0.6656898163060533
많다,단백질,2,2,5,0.6324555318336759,0.39999999992,2.6322682154995127,0.6656898163060533
포케,야채,2,2,5,0.6324555318336759,0.39999999992,2.6322682154995127,0.6656898163060533
패키지,계룡,2,4,3,0.5773502690229592,0.39999999992,2.3692338096657193,0.5991694958194717
패키지,정기권,2,4,3,0.5773502690229592,0.39999999992,2.3692338096657193,0.5991694958194717
아침,야채,2,3,5,0.5163977793609889,0.33333333327777775,2.0473057147783567,0.5177552033520688
코스,유러,2,5,3,0.5163977793609889,0.33333333327777775,2.0473057147783567,0.5177552033520688
코스,피안,2,5,3,0.5163977793609889,0.33333333327777775,2.0473057147783567,0.5177552033520688
데이,패키지,2,4,4,0.499999999875,0.33333333327777775,1.9541963103868754,0.4942082175469124
대전,패키지,2,4,4,0.499999999875,0.33333333327777775,1.9541963103868754,0.4942082175469124
새벽,패키지,4,12,4,0.5773502691062925,0.33333333330555553,1.369233809665719,0.4634877529470637
새벽,데이,4,12,4,0.5773502691062925,0.33333333330555553,1.369233809665719,0.4634877529470637
직장인,다이어트,2,5,4,0.4472135953999579,0.2857142856734694,1.632268215499513,0.41279392507950957
