term,log_odds,z,k_a,k_b
다르,4.108382807915477,6.405214767318741,8.07402621612406,3.4657359027997265
비타민 c,1.854244343143613,4.721742021884567,8.07402621612406,32.76049324690722
사서,10.730767818234241,1.0727448795231502,16.14805243224812,0.0
신랑,10.730767818234241,1.0727448795231502,16.14805243224812,0.0
일등,10.730767818234241,1.0727448795231502,16.14805243224812,0.0
약국,10.730767818234241,1.0727448795231502,16.14805243224812,0.0
작아지,9.960584367496217,0.9954429419064625,8.07402621612406,0.0
작아지다,9.960584367496217,0.9954429419064625,8.07402621612406,0.0
다르다,9.960584367496217,0.9954429419064625,8.07402621612406,0.0
민중,9.960584367496217,0.9954429419064625,8.07402621612406,0.0
이면,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
종이봉투,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
스럽다,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
이신,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
요것,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
먼저,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
팩키징,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
하나요,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
몇개,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
쫄깃,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
쏟아지다,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
끈적이,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
맛보,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
맛보다,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
파다,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
겠다,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
적임,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
달콤,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
정성,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
주기,-2.6587342087271635,-0.2654917735118298,0.0,3.4657359027997265
