term,weighted_tf
운동,16.479184330021646
소모,13.183347464017316
마라톤,6.591673732008658
대회,6.591673732008658
참가,6.591673732008658
동생,6.591673732008658
개인,6.591673732008658
생활,6.591673732008658
오후,6.591673732008658
피곤하다,6.591673732008658
기력,6.591673732008658
피곤,6.591673732008658
아침,6.591673732008658
조깅,6.591673732008658
물놀이,6.591673732008658
종일,6.591673732008658
기전,6.591673732008658
무난,3.295836866004329
대요,3.295836866004329
용이,3.295836866004329
아들,3.295836866004329
정신,3.295836866004329
편이,3.295836866004329
급격하다,3.295836866004329
영아,3.295836866004329
정신력,3.295836866004329
그렇,3.295836866004329
매다,3.295836866004329
놀랏어,3.295836866004329
놀라,3.295836866004329
