term,log_odds,z,k_a,k_b
모양,1.5417310958538866,4.252454221515025,17.58783084726335,13.391597834116983
알다,2.1838441004200644,3.447386130323291,8.793915423631676,3.4657359027997265
일단,2.1838441004200644,3.447386130323291,8.793915423631676,3.4657359027997265
안되다,2.1838441004200644,3.447386130323291,8.793915423631676,3.4657359027997265
시간,0.8272900339740645,1.9069688812520826,8.793915423631676,13.391597834116983
검색,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
제이니,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
정해진,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
이틀,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
초과,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
수고,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
국내,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
용법,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
주시,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
참고,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
전달,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
샛별,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
일주일,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
발견,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
예상,8.751689494616407,0.8749203971979247,17.58783084726335,0.0
야하다,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
유통기한,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
지키,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
만큼,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
마구마구,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
이렇,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
언박싱,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
지키다,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
기한,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
넉넉하다,8.037248432736586,0.8032687730117599,8.793915423631676,0.0
