term,weighted_tf
검색,23.060764411139377
계획,23.060764411139377
숙면,11.530382205569689
보조,11.530382205569689
대비,11.530382205569689
일리,11.530382205569689
구미,11.530382205569689
아침,11.530382205569689
오메가,11.530382205569689
마그네슘,11.530382205569689
추가,11.530382205569689
세포,11.530382205569689
이상,11.530382205569689
유럽,11.530382205569689
프리미엄,11.530382205569689
데일리,11.530382205569689
청소년기,11.530382205569689
착하다,5.765191102784844
착하,5.765191102784844
깨다,5.765191102784844
통잠,5.765191102784844
들어오다,5.765191102784844
둘러보다,5.765191102784844
치다,5.765191102784844
읽다,5.765191102784844
모두,5.765191102784844
바꾸다,5.765191102784844
루테인,5.765191102784844
등등,5.765191102784844
깨우다,5.765191102784844
