term,log_odds,z,k_a,k_b
모양,1.5839705595666147,5.567104278380792,41.435125125825316,17.58783084726335
설탕,1.711568446234081,5.134146332319883,33.14810010066025,12.339221464982913
다르다,1.433658887000039,3.3422377981832723,16.574050050330126,8.07402621612406
평소,1.0507554675691866,2.7618847485750506,16.574050050330126,11.83240412521487
입안,0.9117501197575555,2.492379720867802,16.574050050330126,13.591411550347027
구비,0.9117501197575555,2.492379720867802,16.574050050330126,13.591411550347027
보이다,1.5815796514082816,2.4753492989220556,8.287025025165063,3.4657359027997265
칼슘,0.8270119047272715,2.3127333582297993,16.574050050330126,14.788986214438076
끄다,1.2504190403731652,2.1859647403442737,8.287025025165063,4.8283137373023015
이건,1.0472818130054735,1.9472150489419822,8.287025025165063,5.916202062607435
솔직하다,1.0472818130054735,1.9472150489419822,8.287025025165063,5.916202062607435
그런지,1.0472818130054735,1.9472150489419822,8.287025025165063,5.916202062607435
예상,0.6529691910814064,1.9079613882355384,16.574050050330126,17.58783084726335
내다,1.005335537708036,1.8919905829063894,8.287025025165063,6.169610732491456
보이,0.8888528558599047,1.728008162520627,8.287025025165063,6.931471805599453
살다,0.8241434481822374,1.6301998710815728,8.287025025165063,7.394493107219038
이렇,0.6506219944232061,1.3446766830317147,8.287025025165063,8.793915423631676
야하다,0.6506219944232061,1.3446766830317147,8.287025025165063,8.793915423631676
구미,10.05879764030163,1.0058330869660967,107.73132532714583,0.0
함량,0.3089411594820124,0.9737096766653504,16.574050050330126,24.76126162341259
조카,9.249450481629077,0.9248520695183363,49.72215015099038,0.0
아연,8.83396138163755,0.8832629585830295,33.14810010066025,0.0
시럽,8.83396138163755,0.8832629585830295,33.14810010066025,0.0
부드럽,8.541355751995894,0.853963914326482,24.861075075495187,0.0
부드럽다,8.541355751995894,0.853963914326482,24.861075075495187,0.0
취향,8.541355751995894,0.853963914326482,24.861075075495187,0.0
다르,0.378345037238188,0.831362929652762,8.287025025165063,11.539762118923788
단맛,8.131092695070825,0.8128642323389142,16.574050050330126,0.0
하트,8.131092695070825,0.8128642323389142,16.574050050330126,0.0
감격,8.131092695070825,0.8128642323389142,16.574050050330126,0.0
