term,weighted_tf
검색,17.58783084726335
발견,17.58783084726335
모양,17.58783084726335
샛별,17.58783084726335
예상,17.58783084726335
제이니,17.58783084726335
정해진,17.58783084726335
용법,17.58783084726335
참고,17.58783084726335
일주일,17.58783084726335
국내,17.58783084726335
이틀,17.58783084726335
전달,17.58783084726335
주시,17.58783084726335
수고,17.58783084726335
초과,17.58783084726335
언박싱,8.793915423631676
안되다,8.793915423631676
지키다,8.793915423631676
야하다,8.793915423631676
만큼,8.793915423631676
유통,8.793915423631676
기한,8.793915423631676
넉넉하다,8.793915423631676
알다,8.793915423631676
지키,8.793915423631676
시간,8.793915423631676
유통기한,8.793915423631676
이렇,8.793915423631676
마구마구,8.793915423631676
