term,weighted_tf
함량,44.498270875157566
오메가,29.66551391677171
사진,14.832756958385856
비교,14.832756958385856
차이,14.832756958385856
장기간,14.832756958385856
플라스틱,14.832756958385856
마그네슘,14.832756958385856
여름철,14.832756958385856
한국,14.832756958385856
사람,14.832756958385856
햇빛,14.832756958385856
증도,14.832756958385856
걱정,14.832756958385856
사실,14.832756958385856
당장,14.832756958385856
임신,14.832756958385856
실제,7.416378479192928
넘기다,7.416378479192928
쉽다,7.416378479192928
연하다,7.416378479192928
제중,7.416378479192928
이인,7.416378479192928
딱이다,7.416378479192928
골다,7.416378479192928
순이,7.416378479192928
랍니,7.416378479192928
보이다,7.416378479192928
보이,7.416378479192928
작고,7.416378479192928
