term,log_odds,z,k_a,k_b
싫다,1.5675110412227218,2.0961710524897366,6.939253946041508,2.3978952727983707
씹다,1.5675110412227218,2.0961710524897366,6.939253946041508,2.3978952727983707
적다,1.0776721703692047,1.7063595504646385,6.939253946041508,3.912023005428146
오후,0.5534351042669146,1.018306014194152,6.939253946041508,6.591673732008658
회사,8.486121011464949,0.8484593330272202,27.757015784166033,0.0
시간,7.762204745817715,0.7759411783602458,13.878507892083016,0.0
달다,7.762204745817715,0.7759411783602458,13.878507892083016,0.0
요새,7.762204745817715,0.7759411783602458,13.878507892083016,0.0
뒷맛,7.762204745817715,0.7759411783602458,13.878507892083016,0.0
피로,7.054568746841235,0.70494984441448,6.939253946041508,0.0
아프다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
아파서,7.054568746841235,0.70494984441448,6.939253946041508,0.0
나기,7.054568746841235,0.70494984441448,6.939253946041508,0.0
과일,7.054568746841235,0.70494984441448,6.939253946041508,0.0
비리다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
거슬리다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
친구,7.054568746841235,0.70494984441448,6.939253946041508,0.0
핵심,7.054568746841235,0.70494984441448,6.939253946041508,0.0
지다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
느끼하다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
관여,7.054568746841235,0.70494984441448,6.939253946041508,0.0
갈라지다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
원료,7.054568746841235,0.70494984441448,6.939253946041508,0.0
장점,7.054568746841235,0.70494984441448,6.939253946041508,0.0
부드럽다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
무언가,7.054568746841235,0.70494984441448,6.939253946041508,0.0
전환,7.054568746841235,0.70494984441448,6.939253946041508,0.0
갈라지,7.054568746841235,0.70494984441448,6.939253946041508,0.0
참다,7.054568746841235,0.70494984441448,6.939253946041508,0.0
성의,7.054568746841235,0.70494984441448,6.939253946041508,0.0
