term,weighted_tf,core_score
피곤하다,226.31265535558694,0.8846153846122916
구미,178.07465393148817,0.8507966735471988
마그네슘,190.93577716428857,0.8059615930812889
아침,130.26760512314297,0.5644647735580957
함량,108.90183003410121,0.49068671145331855
피로,93.34781009726416,0.41950017674804585
상큼,85.98871006009935,0.3890456862785591
오메가,88.97456439354298,0.3828965156821165
미네랄,71.16507201102091,0.3508875017922248
칼슘,64.30183966235025,0.30658214747048385
감기,71.49514659762373,0.29806229045703175
부드럽다,51.898194492603686,0.2912937762816398
먹어주다,59.29788146345773,0.221873804819414
유산균,54.72798646581944,0.2154311252600965
독일,34.26056022557677,0.213662484747215
입안,40.94007561693882,0.21124574422431786
검색,35.635705999946296,0.2025312861259793
다르다,45.40187574683489,0.20196946382911365
지다,35.42259438103639,0.19417981011185642
충분하다,29.91565077958004,0.19253108498378338
평소,36.84148887914613,0.19087623687680588
모양,41.487924986849805,0.1898633554558427
헤르츠,24.196996725194,0.18253521774056725
종합,48.69666934792707,0.18139124742065976
도스,37.396658264253524,0.17720879709142004
살다,34.14395182298629,0.17484026878982586
일반,26.41274018654907,0.17400404332019975
관리,32.84322713538491,0.1708170413663027
이뮨,47.63392500416637,0.17041180123642666
씹다,24.85835142375479,0.1691962161474701
보이다,32.302691951700965,0.16914513031924888
과일,26.889333262748767,0.16778586951056923
덴프스,40.989013635842326,0.1652432665972493
사실,35.781168748534675,0.16451967355944402
끄다,28.310554017327007,0.16448949154051784
다니다,30.663467061248106,0.1640748993968596
사먹다,37.494780444683144,0.16212768009575917
설탕,32.0199761437213,0.16057836394819897
도펠,24.196996725194,0.15945829466364414
며칠,29.03573262531753,0.15904020920971074
새벽,28.649176155275104,0.15784456450038883
제공,30.819637752076105,0.15686563797258912
별로,33.23516952729489,0.15664472970330065
자꾸,30.60001297913687,0.1561863240349075
발생,34.6990912652153,0.15348042869683057
금방,31.844568850738195,0.15234350990604306
사람,26.612618505223814,0.15154535709287692
기도,36.50791154421571,0.151382921672233
공복,33.50919033429839,0.1497999864770641
달다,30.835892618554574,0.14922360765658194
부분,27.315191261590577,0.1460261533689789
장점,34.662807513857764,0.1456758929635843
지인,24.426229802518986,0.14478271233718745
궁금하다,24.36593056561966,0.14459620281228694
모두,26.70393834120425,0.14413550768857605
안녕하다,36.559430664255345,0.14384996602310168
바꾸다,29.069518903006575,0.14376009701491949
시간,26.537153535564507,0.14361963126194024
남기다,24.04993962785124,0.14361882195795792
종류,31.403781311393118,0.14328781722293407
들어서다,23.607372799595154,0.14224993350896184
믿음,21.10496429442907,0.14220212631084841
