term,weighted_tf
함량,24.76126162341259
검색,17.58783084726335
발견,17.58783084726335
모양,17.58783084726335
샛별,17.58783084726335
예상,17.58783084726335
제이니,17.58783084726335
정해진,17.58783084726335
용법,17.58783084726335
참고,17.58783084726335
일주일,17.58783084726335
국내,17.58783084726335
이틀,17.58783084726335
전달,17.58783084726335
주시,17.58783084726335
수고,17.58783084726335
초과,17.58783084726335
지키다,14.984230829484822
지키,14.984230829484822
대박,12.380630811706295
종합,12.380630811706295
중복,12.380630811706295
부분,12.380630811706295
이구,12.380630811706295
요건,12.380630811706295
나이,12.380630811706295
파이팅,12.380630811706295
비타민 c,12.380630811706295
속도,12.380630811706295
공복,12.380630811706295
