term,log_odds,z,k_a,k_b
함량,3.59539239992615,8.90801963718886,44.498270875157566,7.110696122978827
장기간,2.423610810272206,5.3165644747387315,14.832756958385856,7.110696122978827
비교,1.6886591706435627,4.5968825083202836,14.832756958385856,14.788986214438076
비타민d,0.6963453945016589,1.6158352812347838,7.416378479192928,19.573499502090005
오메가,9.72386567870656,0.9722227727490595,29.66551391677171,0.0
플라스틱,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
당장,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
사진,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
임신,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
차이,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
햇빛,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
사람,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
사실,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
한국,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
여름철,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
증도,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
걱정,8.99492345069029,0.8991894909254656,14.832756958385856,0.0
마그네슘,0.2401129308470309,0.8305303259427439,14.832756958385856,61.678464861892536
골다,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
보이다,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
연하다,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
바라다,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
쉽다,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
착하,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
랍니,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
순이,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
바라,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
실제,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
이인,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
넘기다,8.284861850527768,0.8279289481534233,7.416378479192928,0.0
