term,weighted_tf
마그네슘,165.196498234499
신경,29.29532226480927
최근,29.29532226480927
오른쪽,15.462106288014255
이틀,15.462106288014255
이후,15.462106288014255
반복,15.462106288014255
독일,15.462106288014255
커서,15.462106288014255
개인,15.462106288014255
편차,15.462106288014255
일주일,15.462106288014255
나중,15.462106288014255
현재,15.462106288014255
예정,15.462106288014255
근육통,15.462106288014255
요새,15.462106288014255
잠도,15.462106288014255
자지,15.462106288014255
대비,15.462106288014255
성능,15.462106288014255
유지,15.462106288014255
불면증,15.462106288014255
눈꺼풀,15.462106288014255
예전,14.647661132404634
자고,14.647661132404634
며칠,14.647661132404634
어젯밤,14.647661132404634
컨디션,14.647661132404634
사람,14.647661132404634
