token1,token2,co_docs,PMI,NPMI,PHI
instafoodobentagram,foodfoodphotography,14,4.260665772719737,0.9999999988548689,0.9999999999999999
lunchfoodstagram,foodfoodphotography,14,4.260665772719737,0.9999999988548689,0.9999999999999999
instafoodobentagram,lunchfoodstagram,14,4.260665772719737,0.9999999988548689,0.9999999999999999
도먹걸,집밥그램,12,4.414816450745762,0.9999999984895308,0.9999999999999999
domukgirl,클릭도시락,11,4.5018278264439235,0.9999999982335182,0.9999999999999998
peanuts,snoopy,8,4.820281550353037,0.9999999968615942,0.9999999999999999
큐브닭가슴살요리,닭가슴살요리,7,4.953812938288335,0.9999999960031776,0.9999999999999999
닭가슴살요리,동물복지닭가슴살,7,4.953812938288335,0.9999999960031776,0.9999999999999999
큐브닭가슴살요리,동물복지닭가슴살,7,4.953812938288335,0.9999999960031776,0.9999999999999999
instagood,mamagirl,7,4.953812938288335,0.9999999960031776,0.9999999999999999
cookstagram,밑반찬레시피,6,5.10796361088704,0.9999999947132662,0.9999999999999999
IFF,큐브닭가슴살,6,5.10796361088704,0.9999999947132662,0.9999999999999999
cookstagram,일주일반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
요리영상,일주일반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
요리영상,레시피밑반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
cookstagram,레시피밑반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
요리영상,밑반찬레시피,6,5.10796361088704,0.9999999947132662,0.9999999999999999
밑반찬레시피,레시피밑반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
레시피밑반찬,일주일반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
cookstagram,요리영상,6,5.10796361088704,0.9999999947132662,0.9999999999999999
밑반찬레시피,일주일반찬,6,5.10796361088704,0.9999999947132662,0.9999999999999999
예쁜상차림kimchi,yummyfood,5,5.290285155686614,0.9999999926344691,0.9999999999999998
닭가슴살레시피,동물복지IFF큐브닭가슴살,5,5.290285155686614,0.9999999926344691,0.9999999999999998
닭가슴살레시피,하림닭가슴살,5,5.290285155686614,0.9999999926344691,0.9999999999999998
동물복지IFF큐브닭가슴살,하림닭가슴살,5,5.290285155686614,0.9999999926344691,0.9999999999999998
반찬스타그램,집밥그램,12,4.3347737435979,0.9818695262671944,0.9602786094927311
반찬스타그램,도먹걸,12,4.3347737435979,0.9818695262671944,0.9602786094927311
도먹걸,domukgirl,11,4.414816450132024,0.9806719875870232,0.9569389980596856
도먹걸,클릭도시락,11,4.414816450132024,0.9806719875870232,0.9569389980596856
집밥그램,domukgirl,11,4.414816450132024,0.9806719875870232,0.9569389980596856
집밥그램,클릭도시락,11,4.414816450132024,0.9806719875870232,0.9569389980596856
큐브닭가슴살요리,큐브닭가슴살,6,4.953812934964798,0.9698214956380703,0.9253504978657106
동물복지닭가슴살,IFF,6,4.953812934964798,0.9698214956380703,0.9253504978657106
닭가슴살요리,IFF,6,4.953812934964798,0.9698214956380703,0.9253504978657106
동물복지닭가슴살,큐브닭가슴살,6,4.953812934964798,0.9698214956380703,0.9253504978657106
큐브닭가슴살요리,IFF,6,4.953812934964798,0.9698214956380703,0.9253504978657106
닭가슴살요리,큐브닭가슴살,6,4.953812934964798,0.9698214956380703,0.9253504978657106
IFF,하림닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
IFF,닭가슴살레시피,5,5.107963605453085,0.9655365292246275,0.9124083647021138
밑반찬레시피,예쁜상차림kimchi,5,5.107963605453085,0.9655365292246275,0.9124083647021138
일주일반찬,yummyfood,5,5.107963605453085,0.9655365292246275,0.9124083647021138
닭요리,닭가슴살레시피,5,5.107963605453085,0.9655365292246275,0.9124083647021138
레시피밑반찬,yummyfood,5,5.107963605453085,0.9655365292246275,0.9124083647021138
일주일반찬,예쁜상차림kimchi,5,5.107963605453085,0.9655365292246275,0.9124083647021138
닭요리,동물복지IFF큐브닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
밑반찬레시피,yummyfood,5,5.107963605453085,0.9655365292246275,0.9124083647021138
레시피밑반찬,예쁜상차림kimchi,5,5.107963605453085,0.9655365292246275,0.9124083647021138
닭가슴살도시락,하림닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
닭가슴살도시락,동물복지IFF큐브닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
요리영상,yummyfood,5,5.107963605453085,0.9655365292246275,0.9124083647021138
닭가슴살도시락,닭가슴살레시피,5,5.107963605453085,0.9655365292246275,0.9124083647021138
요리영상,예쁜상차림kimchi,5,5.107963605453085,0.9655365292246275,0.9124083647021138
cookstagram,yummyfood,5,5.107963605453085,0.9655365292246275,0.9124083647021138
cookstagram,예쁜상차림kimchi,5,5.107963605453085,0.9655365292246275,0.9124083647021138
큐브닭가슴살,동물복지IFF큐브닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
IFF,동물복지IFF큐브닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
큐브닭가슴살,닭가슴살레시피,5,5.107963605453085,0.9655365292246275,0.9124083647021138
닭요리,하림닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
큐브닭가슴살,하림닭가슴살,5,5.107963605453085,0.9655365292246275,0.9124083647021138
반찬스타그램,domukgirl,11,4.334773743031952,0.9628919413381409,0.9189280504261225
재료는,domukgirl,11,4.334773743031952,0.9628919413381409,0.9189280504261225
재료는,클릭도시락,11,4.334773743031952,0.9628919413381409,0.9189280504261225
반찬스타그램,클릭도시락,11,4.334773743031952,0.9628919413381409,0.9189280504261225
밍키식단,식사기록,12,4.191672900798308,0.9494557568206141,0.893057120462159
식단기록,식단공유,11,4.26066577136977,0.9464301897145098,0.8850488629073019
동물복지,IFF,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
recipe,요리영상,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
recipe,cookstagram,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
recipe,레시피밑반찬,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
recipe,밑반찬레시피,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
recipe,일주일반찬,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
동물복지,큐브닭가슴살,6,4.8202815452690375,0.9436796905740701,0.8651466360251062
재료는,집밥그램,11,4.2477623666157855,0.943563930668485,0.8791927752556875
재료는,도먹걸,11,4.2477623666157855,0.943563930668485,0.8791927752556875
식사기록,식단공유,10,4.319506270336717,0.9396076987469498,0.8688793054738593
닭가슴살요리,동물복지IFF큐브닭가슴살,5,4.953812930311845,0.9363980859329387,0.8442975345339399
동물복지닭가슴살,동물복지IFF큐브닭가슴살,5,4.953812930311845,0.9363980859329387,0.8442975345339399
닭가슴살요리,하림,5,4.953812930311845,0.9363980859329387,0.8442975345339399
닭가슴살요리,하림닭가슴살,5,4.953812930311845,0.9363980859329387,0.8442975345339399
큐브닭가슴살요리,하림닭가슴살,5,4.953812930311845,0.9363980859329387,0.8442975345339399
큐브닭가슴살요리,닭가슴살레시피,5,4.953812930311845,0.9363980859329387,0.8442975345339399
큐브닭가슴살요리,동물복지IFF큐브닭가슴살,5,4.953812930311845,0.9363980859329387,0.8442975345339399
닭가슴살요리,닭가슴살레시피,5,4.953812930311845,0.9363980859329387,0.8442975345339399
큐브닭가슴살요리,하림,5,4.953812930311845,0.9363980859329387,0.8442975345339399
동물복지닭가슴살,하림닭가슴살,5,4.953812930311845,0.9363980859329387,0.8442975345339399
동물복지닭가슴살,하림,5,4.953812930311845,0.9363980859329387,0.8442975345339399
동물복지닭가슴살,닭가슴살레시피,5,4.953812930311845,0.9363980859329387,0.8442975345339399
IFF,닭가슴살도시락,5,4.925642054126152,0.9310730656081045,0.8323191345503718
닭요리,닭가슴살도시락,5,4.925642054126152,0.9310730656081045,0.8323191345503718
단백질식단,신혼,5,4.925642054126152,0.9310730656081045,0.8323191345503718
큐브닭가슴살,닭가슴살도시락,5,4.925642054126152,0.9310730656081045,0.8323191345503718
