token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
간편하게,7,7,4,11.87191720081588,0.41715903109961655,-0.17046162217104993
맛을,7,7,4,10.824912205464695,0.5666197971602063,-0.17368340589650816
2개,7,7,5,11.258316665456379,0.49716009371642833,-0.17583377880475548
반찬스타그램,13,13,3,9.428877694440043,0.23659708175315372,-0.17751874821551222
콩나물무침,13,14,5,8.935554049082336,0.2820842921295356,-0.17787722240345613
벤또,7,7,3,12.91299917949678,0.2444160837522085,-0.17833205511990316
불고기,6,9,3,12.651036273308176,0.2787005880794684,-0.18332009559620474
혼밥,9,9,1,11.271410607439703,0.30050906950649153,-0.18406031989658805
볶아,8,8,6,11.075342702631158,0.4038848571665743,-0.1906294933177993
일도,5,5,4,12.807857291208844,0.4059223502353638,-0.19255017874843217
cookstagram,6,6,3,14.34411419910403,0.08170409637242194,-0.19541031268060066
요리영상,6,6,3,14.34411419910403,0.08170409637242194,-0.19541031268060066
밑반찬레시피,6,6,3,14.34411419910403,0.08170409637242194,-0.19541031268060066
레시피밑반찬,6,6,3,14.34411419910403,0.08170409637242194,-0.19541031268060066
일주일반찬,6,6,3,14.34411419910403,0.08170409637242194,-0.19541031268060066
먹스타,9,9,3,11.682723511765463,0.2134157195474888,-0.19581947577673764
맛은,7,8,4,11.238002516121327,0.4266467923644958,-0.19698690754858827
예쁜도시락,12,12,3,10.027635696723198,0.19133111515186188,-0.1977887256915678
급하게,5,5,6,11.745411894150422,0.5520547304672865,-0.19835875656588825
신혼부부,9,9,3,11.59139419297059,0.21786756789425812,-0.2000410240176913
싶어서,9,9,3,11.172847621521267,0.2779653445700906,-0.20116834147721568
캐릭터도시락,15,15,3,8.650361556864818,0.1187162310296985,-0.20389314655358892
뚝딱,5,5,6,12.027594003808339,0.49776837357195847,-0.20391821269447602
요리스타그램,10,10,1,9.887251174084566,0.373678843356639,-0.20485866167458905
야채,13,15,1,7.407801948683343,0.42060444458889057,-0.20649369574293178
마요네즈,8,9,3,11.196543986748186,0.3227289902555786,-0.20695988346193486
