token1,token2,co_docs,PMI,NPMI,PHI
lunchfoodstagram,foodfoodphotography,14,4.255612704918473,0.9999999988652045,0.9999999999999999
instafoodobentagram,lunchfoodstagram,14,4.255612704918473,0.9999999988652045,0.9999999999999999
instafoodobentagram,foodfoodphotography,14,4.255612704918473,0.9999999988652045,0.9999999999999999
도먹걸,집밥그램,12,4.409763382962669,0.9999999985031934,0.9999999999999999
domukgirl,클릭도시락,11,4.496774758673855,0.9999999982495167,0.9999999999999998
peanuts,snoopy,8,4.81522848265563,0.9999999968901496,0.9999999999999999
instagood,mamagirl,7,4.948759870638169,0.9999999960396139,0.9999999999999999
큐브닭가슴살요리,닭가슴살요리,7,4.948759870638169,0.9999999960396139,0.9999999999999999
닭가슴살요리,동물복지닭가슴살,7,4.948759870638169,0.9999999960396139,0.9999999999999999
큐브닭가슴살요리,동물복지닭가슴살,7,4.948759870638169,0.9999999960396139,0.9999999999999999
cookstagram,레시피밑반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
cookstagram,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
cookstagram,요리영상,6,5.102910543309677,0.9999999947615682,0.9999999999999999
요리영상,레시피밑반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
요리영상,밑반찬레시피,6,5.102910543309677,0.9999999947615682,0.9999999999999999
요리영상,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
cookstagram,밑반찬레시피,6,5.102910543309677,0.9999999947615682,0.9999999999999999
레시피밑반찬,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
밑반찬레시피,일주일반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
밑반찬레시피,레시피밑반찬,6,5.102910543309677,0.9999999947615682,0.9999999999999999
닭가슴살레시피,동물복지IFF큐브닭가슴살,5,5.285232088230022,0.9999999927019366,0.9999999999999998
단백질함량,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998
추천메뉴,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998
추천메뉴,쉐이크도시락,5,5.285232088230022,0.9999999927019366,0.9999999999999998
쉐이크도시락,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998
간단한요리,쉬운요리,5,5.285232088230022,0.9999999927019366,0.9999999999999998
단백질함량,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998
근육,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998
쉐이크도시락,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998
동물복지IFF큐브닭가슴살,하림닭가슴살,5,5.285232088230022,0.9999999927019366,0.9999999999999998
닭가슴살레시피,하림닭가슴살,5,5.285232088230022,0.9999999927019366,0.9999999999999998
예쁜상차림kimchi,yummyfood,5,5.285232088230022,0.9999999927019366,0.9999999999999998
추천메뉴,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998
근육량늘리기,쉐이크도시락,5,5.285232088230022,0.9999999927019366,0.9999999999999998
근육량늘리기,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998
근육량늘리기,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998
근육량늘리기,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998
추천메뉴,근육량늘리기,5,5.285232088230022,0.9999999927019366,0.9999999999999998
영양성분,추천메뉴,5,5.285232088230022,0.9999999927019366,0.9999999999999998
추천메뉴,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998
영양성분,쉐이크도시락,5,5.285232088230022,0.9999999927019366,0.9999999999999998
영양성분,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998
영양성분,근육,5,5.285232088230022,0.9999999927019366,0.9999999999999998
영양성분,냥집사,5,5.285232088230022,0.9999999927019366,0.9999999999999998
쉐이크도시락,단백질함량,5,5.285232088230022,0.9999999927019366,0.9999999999999998
영양성분,근육량늘리기,5,5.285232088230022,0.9999999927019366,0.9999999999999998
반찬스타그램,도먹걸,12,4.329720675809521,0.9818487509005244,0.9602760944201374
반찬스타그램,집밥그램,12,4.329720675809521,0.9818487509005244,0.9602760944201374
집밥그램,클릭도시락,11,4.40976338235514,0.9806502685352219,0.9569364968567105
도먹걸,domukgirl,11,4.40976338235514,0.9806502685352219,0.9569364968567105
도먹걸,클릭도시락,11,4.40976338235514,0.9806502685352219,0.9569364968567105
집밥그램,domukgirl,11,4.40976338235514,0.9806502685352219,0.9569364968567105
동물복지닭가슴살,큐브닭가슴살,6,4.948759867348168,0.9697916119483314,0.9253481037695203
닭가슴살요리,큐브닭가슴살,6,4.948759867348168,0.9697916119483314,0.9253481037695203
큐브닭가슴살요리,큐브닭가슴살,6,4.948759867348168,0.9697916119483314,0.9253481037695203
닭가슴살도시락,하림닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009
닭가슴살도시락,동물복지IFF큐브닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,근육,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,단백질함량,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,쉐이크도시락,5,5.102910537930527,0.9655035796920098,0.9124060088858009
큐브닭가슴살,닭가슴살레시피,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,냥집사,5,5.102910537930527,0.9655035796920098,0.9124060088858009
요리영상,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009
요리영상,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009
큐브닭가슴살,동물복지IFF큐브닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009
밑반찬레시피,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,영양성분,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,추천메뉴,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,근육량늘리기,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,쉐이크도시락,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,단백질함량,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,근육,5,5.102910537930527,0.9655035796920098,0.9124060088858009
신혼,냥집사,5,5.102910537930527,0.9655035796920098,0.9124060088858009
닭요리,동물복지IFF큐브닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009
닭요리,하림닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009
닭가슴살도시락,닭가슴살레시피,5,5.102910537930527,0.9655035796920098,0.9124060088858009
cookstagram,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009
cookstagram,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009
레시피밑반찬,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009
밑반찬레시피,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,근육량늘리기,5,5.102910537930527,0.9655035796920098,0.9124060088858009
닭요리,닭가슴살레시피,5,5.102910537930527,0.9655035796920098,0.9124060088858009
레시피밑반찬,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009
큐브닭가슴살,하림닭가슴살,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,추천메뉴,5,5.102910537930527,0.9655035796920098,0.9124060088858009
단백질식단,영양성분,5,5.102910537930527,0.9655035796920098,0.9124060088858009
일주일반찬,예쁜상차림kimchi,5,5.102910537930527,0.9655035796920098,0.9124060088858009
일주일반찬,yummyfood,5,5.102910537930527,0.9655035796920098,0.9124060088858009
반찬스타그램,domukgirl,11,4.329720675249302,0.9628502426808403,0.9189232418096501
재료는,클릭도시락,11,4.329720675249302,0.9628502426808403,0.9189232418096501
재료는,domukgirl,11,4.329720675249302,0.9628502426808403,0.9189232418096501
반찬스타그램,클릭도시락,11,4.329720675249302,0.9628502426808403,0.9189232418096501
밍키식단,식사기록,12,4.186619833001472,0.9493978391017798,0.8930500890423007
식단기록,식단공유,11,4.255612703582178,0.9463699928318897,0.8850419087974696
