url,caption,hashtags,date_iso,date_text
https://www.instagram.com/p/DQKrqGwka6y/,"드디어 나왔어요 🌱출시되자마자 서버가 다운될 정도로다들 기다렸던 그 제품 ‼️아직 아무도 본격적으로 써보지 못했지만😁저는 바로 오늘 루틴에 넣었어요🤭안에서는 원팩으로 밸런스 정리,겉에서는 딥코어 PDRN으로 탄력 케어👌요즘처럼 피곤함이 얼굴에 드러나는 시기에가장 필요한 루틴이에요😍건조했던 피부가 오랜만에 ‘숨 쉬는 느낌’거울 볼 때마다 괜히 기분 좋아지는 그 느낌 아시죠?😉이제 매일 루틴 기록 들어갑니다🌿(이번 건, 변화가 너무 빠를 예감💫)#시너지 #영통역기구필라테스 #다이어트레시피 #필라테스그램 #여자영양제 #다이어트일상",시너지;영통역기구필라테스;다이어트레시피;필라테스그램;여자영양제;다이어트일상,2025-10-23T21:30:45.000Z,2025년 10월 24일
https://www.instagram.com/p/Cx78_KAL9WB/,"💊협찬💊 건강 챙기셔야죠!💪 철수 후 저녁은 진짜 피곤하네요🥲이제 진짜 건강 챙겨야할 나이!!😮‍💨문핑이는 요즘헬씨디어(@healthydear_official)에서 보내주신 하루 한포 영양제로챙기고 있어요!☺️💊헬씨디어W 올인원팩 4주분✔️감마리놀레산 - 월경 전 불편함, 피부상태 개선✔️마리골드꽃 추출물 - 눈 건강✔️프로바이오틱스 - 장 건강, 배변활동 원활여성에게 꼭 필요한 성분만 담은8중 기능성 멀티팩으로하루 한포! 챙겨먹기도 편하답니다!🙌자세한 제품 소개는태그된 헬씨디어 프로필로 가셔서확인해보시구여!😉여성용은 W, 남성용은 M으로 나눠져 있으니맞춤으로 건강 챙겨보셔요🫶아! 혹시 관심 있으신 분은 DM 주시면50% 지인할인 받으실 수 있는 링크 보내드릴게요!저도 50% 할인으로 문군것도 구매하려구요!😏소중한 나의 건강을 디자인하다. 헬씨디어ଘ(੭*ˊᵕˋ)੭ ➳❥ @healthydear_official  #헬씨디어 #헬씨디어W #종합영양제 #여자영양제 #영양제추천 #캠리크",헬씨디어;헬씨디어W;종합영양제;여자영양제;영양제추천;캠리크,2023-10-06T06:39:17.000Z,2023년 10월 6일
https://www.instagram.com/p/DLFVfmBJVlE/,#협찬 #체험단 @the_health_dream저는 직업이 간호사라 오랜 교대근무와 불규칙한 생활 패턴으로 스트레스 받거나 무리하면 바로 질염이나 방광염이 찾아오는 편인데요  그래서 질유산균을 선택할 때 성분이나 원료의 출처 등 안전성을 꼼꼼하게 보는 편이에요 😭 더건강드림에서 나온 질유산균 이너 프로바이오틱스 플러스는 제조 및 품질 관리 기준인(GMP) 인증 제조 시설에서 생성된 식약처 기능성 인정 건강 기능식품으로 여성이라면 매달 반복되는 호르몬 변화와 더불어 Y존 케어와 장 건강도 함께 챙기고 싶고 고민하는 분들께 특히 추천 드리는 제품입니다! 〜𖤐˒˒하루 1캡슐로 목넘김도 편한 작은 캡슐이라 가볍게 섭취 가능하니 더이상 미루지 말고 질유산균추천 제품으로 관리하셔서 이너뷰티와 건강까지 함께 지켜보시는건 어떨까요? 💊˳𓈒𓏸  𖦹 모유유래 유산균 1 + 19종 혼합유산균 𖦹 질염 예방 및 질 내 면역력 강화 𖦹 하루 1캡슐로 질 + 장 건강 모두 관리 𖦹 보장유산균 50억 CFU 𖦹 안전한 100% 식물성 캡슐 현재 더건강드림 홈페이지에서 신규 회원을 위한 5만원 상당의 웰컴 쿠폰 지급 이벤트를 진행하고 있다고 하니 놓치지 마세요  ͙ᐟ #더건강드림 #질유산균 #질건강 #질건강관리 #여성영양제 #여자영양제 #영양제추천 #유산균 #유산균추천 #자기관리 #건강 #스트레스,협찬;체험단;더건강드림;질유산균;질건강;질건강관리;여성영양제;여자영양제;영양제추천;유산균;유산균추천;자기관리;건강;스트레스,2025-06-19T13:52:22.000Z,2025년 6월 19일
https://www.instagram.com/p/DO0TVd9kzBk/,"시작→성공을 누구나 바라지만,진짜 중요한 건 과정이에요.힘들 땐 옆에서 같이 버텨주고,잘 되는 순간엔 같이 웃어주는—장거리 달리기까지 함께 해주는 현지코치 🏃‍♀️혼자가 아닌, 같이 가는 여정✌️우리 커플 물병처럼🙌시작이 반이고,과정을 이겨내는 건 함께일 때 더 쉬워집니다 :]#저칼로리 #여자영양제 #여자운동화",저칼로리;여자영양제;여자운동화,2025-09-20T08:23:41.000Z,2025년 9월 20일
https://www.instagram.com/p/Cj0Jm9qPBG5/,#동갑내기부부 #2세준비제가 10년이상 알고 지낸 미용실 언니가 있는데임신 준비만 5년을 했을 정도로 고생했어요 ㅠ둘다 정상인데 착상이 잘 안돼어서 포기할 때쯤 영양제를 잘 챙겨먹고 자연착상으로 아이를 가졌어요얼마전 멋진 사내아이 출산했는데언니가 추천해준 여성 건강보조제 공유하고자 해요!!!-지금 엽산하나 챙겨먹기도 힘든데저도 이걸 다 먹을 수 있을지 의문이네요🥲 ❤️다음은 남성편도 있어요❤️,동갑내기부부;2세준비,2022-11-07T12:42:06.000Z,2022년 11월 7일
https://www.instagram.com/p/DN0YxJy5PBU/,"#제품제공 @the_health_dream 공주님들 주목🌸여러분, 장건강 관리 따로, 질건강 관리 따로 힘드셨죠?하루 단 한 알이면 질 + 장 건강을 동시에 케어할 수 있는 똑똑한 유산균을 소개해드려요 모유유래 유산균 + 19종 혼합 유산균으로속은 편안하게, 여성 건강은 더 특별하게 그리고 말해 뭐해요…이 핑크핑크한 캡슐 비주얼 너무 러블리하지 않나요? 💕👉지금 자사몰 신규 가입 시무려 5만원 상당 웰컴 쿠폰팩 증정 이벤트도 진행 중!건강도 챙기고 혜택도 놓치지 마세요 #더건강드림 #질유산균 #질건강 #질건강관리 #여성영양제 #여자영양제 #영양제추천 #자기관리 #건강 #스트레스 #체험단",제품제공;더건강드림;질유산균;질건강;질건강관리;여성영양제;여자영양제;영양제추천;자기관리;건강;스트레스;체험단,2025-08-26T12:48:58.000Z,2025년 8월 26일
https://www.instagram.com/p/CYTwO7Mv20S/,"#공구예고 #알림신청제가 개인적으로 공구하고 싶었던 것들 중에 TOP 3 !!!!!에 드는 ♥️석류효소♥️ 드디어 데리고 왔슴둥 ㅠㅠㅠ ㅠ ㅠ ㅠㅠㅠ ㅠ ㅠ 긴 말 필요 있나요?? 저 믿으시쥬.....? 진짜 딴 건 몰라도 효소 안드시는 분들은 없길 바래오... ㅠ스토리에도 소개해드렸듯이 저는 지인 협찬으로 처음 접해보다가 그 후로 1년동안 #내돈내산 으로 꾸준히 먹게 된 석류효소!! 몇 일 까먹고 안먹은 적은 있어도 진짜 지금까지 꾸준하게 먹고 있는 영양제 중에 하나에요 ! 임산부, 수유부 먹을 수 있냐는 문의 많으신데 완전 완전!!! 쌉가넝이쥬 ㅋㄷㅋㄷ 오히려 더 좋아요 :^) 저도 모하 임신하고 속 부대끼고 더부룩한 나날들을 효소 하나로 버텼어요ㅠㅠ ㅠ ㅠㅠㅠ ㅠ책오그치만 이거슨 다이어트 보조제 아니구요!! 붓기를 빼주는 미용제품 아닙니더 🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️ 우리 몸의 효소는 너무너무 많이 필요한 성분이에요 ㅎㅎ 그래서 음식을 분해 해주는 효소들 건강을 위한 효소들 우리 몸의 각각 효소들이 많은데 그런 우리 몸에 좋은 효소를 넣어줌으로써 편안한 소화력을 갖게 되고 소화력이 좋아지면서 배변 활동도 원활하게 이루어 지고 배변활동이 잘되면 붓기가 자연스레 좀 덜 붓는 그렇게 차례대로 좋아지면서 체중변화나 붓기변화가 있을 수 있는거에요 :)그러니 의심치 마시고!!! 저 믿으시고!! 한 달만 꾸준히 섭취해보세요... ㅎ 맛도 새콤달콤 그냥 털어놓고 씹어드셔도 좋고 털어놓고 물 마시면 끄읏!!! 아침에 스토리에서 그래놀라 보여드렸는데 그래놀라 문의도 주시던뎈ㅋㅋ ㅋ ㅋ ㅋ 이거 진짜 짱이쥬?? 이 그래놀라는 이 단품으로만 추후에 따로 판매될 예정인만큼 엄청 메리트 있는 제품인데 대용량 구매하시면 그래놀라 2통에 외출할 때 가지고 다니기 편한 퍼파우치까지 드린다고 하니까 이번 기회 놓치지 마세요!!공구 오픈 후 알림 원하시는 분들은 댓글에 알림요청 주시면 바로 알림 드리겠슴동 ♥️🌝♥️#석류효소 #공구예정 #효소추천 #소화효소 #여자영양제",공구예고;알림신청;내돈내산;석류효소;공구예정;효소추천;소화효소;여자영양제,2022-01-07T15:04:12.000Z,2022년 1월 8일
https://www.instagram.com/p/CqVNVDuLN3d/,다리관리! 슬슬 시작하셔야죠?Summer☀️ 여름이 오잖아용^^#하지정맥 #다리붓기 #붓기세트 #다리영양제 #셀메드약국 #상담 #영양제 #20대영양제 #30대영양제 #여자영양제,하지정맥;다리붓기;붓기세트;다리영양제;셀메드약국;상담;영양제;20대영양제;30대영양제;여자영양제,2023-03-28T14:11:08.000Z,2023년 3월 28일
https://www.instagram.com/p/ChWHHbRveqO/,"— [𝙀𝙑𝙀𝙉𝙏] 요즘 자꾸 손이 가고 챙겨주고 싶은 친구가 있다? 👋🏻 그런 친구 1명을 @태그해주시면 아이엠이 친구를 위한 영양제를 챙겨드려요. 영양제 만큼은 마음 편히, 몸 편히 전문가 아이엠에게 맡겨주세요! 🤍 추첨을 통해 총 5명에게 제공되는 특별한 이벤트를 놓치지 마세요. 💊👯‍♀️예를 들면 이런 친구∙ 늘 피곤하다는 말을 달고 사는 내 친구∙ 자주 잊어버리고 깜빡하는 내 친구∙ mbti P(즉흥적)로 끝나는 내 친구∙ 요즘 유독 바쁘고 지쳐보이는 내 친구 ✓ 이벤트 기간: 22.08.17(수) - 22.08.24(수)✓ 당첨 선물: 아이엠 1개월 무료 이용권 (총 5명)✓ 당첨자 발표: 22.08.25(목) *이벤트 댓글과 DM을 통해 발표↓ 지금 바로 댓글을 남겨주세요!",,2022-08-29T02:08:40.000Z,2022년 8월 29일
https://www.instagram.com/p/CdFuDMaL6Pf/,"시작합니다, 종합영양제를 찾고 있다면 리포데이리포데이 올인원 우먼팩은 여성 맞춤으로 최적 설계된 하루 한 포 멀티 영양, 한국형 건강기능 식품입니다.",,2022-09-08T04:11:10.000Z,2022년 9월 8일
