cluster,size,top_tokens
0,24,"상품을, 한번, 드린, 나은, 상품의, 고객님의, 불편을, 만족스러운, 발생하지, 최선을, 내용은, 해당, 컬리입니다, 점에, 더욱, 컬리가, 고객님께, 고객님, 통해, 품질, 상태로, 앞으로, 종이, 하여"
1,230,"영양제, 맛있어요, 컬리에서, 편하고, 믿고, 아침에, 아이가, 선물용으로, 오메가, 효과가, 하지만, 액상, 한번에, 크기가, 선물로, 피곤하고, 깔끔해서, 가격도, 매일, 효과, 비타민은, 선물, 몸이, 젤리, 독일, 며칠, 집중력도, 액상이라, 맛있고, 깔끔하고"
2,11,"필요한, 선택했습니다, 몸에, 만큼, 알약은, 부분, 비타민과, 크지, 선물하기, 멀티비타민을, 편합니다"
3,19,"멀티비타민, 가격이, 맘에, 평소, 포함되어, 굿굿, 새콤달콤, 중에, 왠지, 손이, 함량도, 커서, 설탕, 냄새가, 착해서, 나온, 이것저것, 목넘김이, 가격에"
4,32,"비타민, 꾸준히, 해서, 맛도, 도움이, 간식처럼, 아니라서, 처음, 젤리로, 부담이, 부드러운, 섭취, 적당히, 치아에, 저에게, 식감이, 약간, 제품이라, 제품이, 피로회복에, 할때, 젤리라서, 엽산, 형태라, 들어서, 가루, 고함량, 의사, 녹아서, 꼬박꼬박"
5,25,"마그네슘, 간편하게, 번에, 칼슘, 추천합니다, 상큼한, 마음에, 분들께, 도펠헤르츠, 마켓컬리에서, 영양제는, 눈에, 가방에, 거부감, 부담, 타입이라, 건강을, 건강한, 개별, 하나씩, 제품이에요, 일반, 간편해서, 알약이, 영양제를"
6,19,"비타민을, 제품을, 구미로, 멀티, 맛은, 미네랄, 하루에, 들어있는, 젤리를, 알약, 충분히, 우선, 모양도, 저에게는, 후기입니다, 맛있다고, 구미, 하겠습니다, 편인데"
