token1,token2,co_docs,PMI,NPMI,PHI
종이백이,제니쿠키,8,4.684443355272787,0.9999999975447323,0.9999999999999999
선물,종이백이,8,3.9912961805718727,0.8520321131174717,0.7038025258110369
선물,제니쿠키,8,3.9912961805718727,0.8520321131174717,0.7038025258110369
깔끔하고,디자인,9,3.7681526309382445,0.8251440566427758,0.6665013408385285
깔끔하고,예뻐요,9,3.7681526309382445,0.8251440566427758,0.6665013408385285
멀티비타민,아임비타,5,3.298149001248684,0.6398647621824127,0.38694321717207913
맛도,편하고,6,2.0786720138913624,0.4180650788709738,0.2121461292304867
비타민,도움이,7,1.8120901138552958,0.3761103377152608,0.20026743656619225
비타민,구미로,5,1.8810829850129673,0.36494370521010605,0.17716746581292658
비타민,칼슘,5,1.726932305348037,0.3350373583632188,0.15920150013468554
비타민,섭취,5,1.726932305348037,0.3350373583632188,0.15920150013468554
비타민,추천합니다,5,1.5934009128452606,0.309131302367772,0.14440200298325098
비타민,비타민을,7,1.444365333963065,0.2997868204166166,0.1525334589255042
꾸준히,마그네슘,6,1.4490382395928032,0.2914323577139779,0.13793781385859982
비타민,해서,9,1.2648968463075803,0.2769850951438267,0.1491300084114198
비타민,크기가,5,1.3702573617014955,0.26583983941958894,0.12106215478808054
비타민,처음,5,1.3702573617014955,0.26583983941958894,0.12106215478808054
비타민,간편하게,7,1.236725969283154,0.25669000587322033,0.12792154956012694
비타민,영양제,9,1.1695866665342454,0.2561142239026212,0.13675961138653112
꾸준히,영양제,5,1.1714065030792737,0.22726133453278602,0.09895441410093808
비타민,작아서,5,1.107893097391338,0.2149392744286125,0.09549806366234072
비타민,마그네슘,7,1.0135824180541664,0.21037520300000123,0.10295675589647894
꾸준히,맛도,5,1.0043524185020822,0.19485163380091616,0.08379052900793792
비타민,믿고,6,0.9647922538674771,0.19404020788836746,0.09026608797623101
비타민,맛도,8,0.8847495462744004,0.18886972837578098,0.09545471535252334
비타민,컬리에서,6,0.9107250326171361,0.18316614167431222,0.08490352185054834
비타민,꾸준히,16,0.7251194007788466,0.1816751668977897,0.11182603175417126
비타민,맛있어요,8,0.6463385228850251,0.13797552286987855,0.0689785308651434
