node,node_df,node_tf,node_cluster,node_centrality,node_svd_c1,node_rank
비타민,110,142,4,7.295404916717352,0.6935821373882068,6.544987607472911
꾸준히,61,65,4,5.152165130790909,0.5669381130608858,3.0596265092851325
영양제,22,25,1,22.86151008607402,0.5014211576480052,2.5923537651166346
맛있어요,33,33,1,10.498164332677208,0.2387202168891974,1.794245440083452
컬리에서,19,19,1,17.58253321476204,0.29648436940979256,1.7456201155636275
편하고,25,26,1,12.445915472144007,0.2285722254982919,1.5519330189295695
믿고,18,18,1,15.073475631946025,0.43808204588719385,1.510126762347647
아침에,14,14,1,17.66318117562942,0.34198926729826246,1.4963609473812964
아이가,28,29,1,10.080216176167209,0.16943549404880265,1.4544294634803931
해서,20,21,4,11.291992525048473,0.7817402256588589,1.4333216650097498
선물용으로,28,29,1,9.369146588911008,0.18276746735493274,1.3901674154241874
맛도,26,28,4,7.231893649624308,0.4802861568469399,1.2302610356975152
마그네슘,20,20,5,9.122239370401752,0.5873299515948545,1.1031426791248977
도움이,9,10,4,14.285414626443998,0.6759648004775841,1.062911258281346
오메가,8,12,1,15.590473924518214,0.4117325157175861,1.0546684077373614
효과가,20,21,1,10.236913073038142,0.18808539993801118,1.031299013973965
간식처럼,4,4,4,16.85150553301556,0.5740952838597024,0.9713289334825121
상품을,5,6,0,17.62986242029377,0.18232552310116815,0.9256860186581043
하지만,6,7,1,16.458811370039545,0.2846314455080737,0.9160328574387118
아니라서,3,3,4,17.026900788928728,0.5343349974972833,0.9129364891410698
액상,5,5,1,16.52145886975449,0.3817704811581812,0.8982706955563169
간편하게,16,16,5,9.402647821782907,0.5455652727420932,0.886191436235799
한번에,14,14,1,11.317707735106108,0.3219418675695999,0.8533972947509536
크기가,10,10,1,13.410685422235256,0.341931364284172,0.8481166028777619
선물로,16,18,1,10.415685161376366,0.18769907095370944,0.8414584433866804
번에,3,3,5,14.57853913735481,0.8518505221885971,0.8274532512405254
멀티비타민,20,22,3,6.8572276989818155,0.41509068080195466,0.8242335369359683
칼슘,7,8,5,12.990480453364995,0.6567583026354068,0.8121227790247235
피곤하고,4,4,1,16.403292046310682,0.3419984721946809,0.8105904745956769
한번,11,12,0,12.111835203307841,0.37951001107239013,0.8099198094439298
추천합니다,8,8,5,12.005396009531475,0.7447318200415973,0.7972915188960884
상큼한,5,5,5,13.470289127806225,0.7830014866759187,0.794510497361574
깔끔해서,3,3,1,16.170844334550512,0.39718604557354653,0.7589835672477336
마음에,6,6,5,12.525258014142041,0.7856764042559402,0.757594297924774
분들께,4,4,5,14.804317604968356,0.5547663494074794,0.7574652429143401
가격도,12,12,1,11.869208390971842,0.2433050471674389,0.7570744349157951
매일,17,17,1,9.328736174136052,0.18805642103095063,0.7561025708104998
도펠헤르츠,3,3,5,14.862237289185007,0.6463647801429763,0.7530242177797852
마켓컬리에서,3,3,5,15.305900200286578,0.543930799372608,0.7460691259312423
드린,4,4,0,16.540637989727877,0.18008846194632924,0.7433477691633616
효과,16,18,1,9.379000460811747,0.1863846038885466,0.7373951946355859
나은,3,3,0,17.13095805128009,0.1481588830576304,0.7302575513694588
비타민은,9,9,1,13.054174691167688,0.2726204955756825,0.7218951527769438
영양제는,6,6,5,13.049651982600995,0.6067921193849684,0.7204726141369091
눈에,3,4,5,14.232887181664614,0.6429314330390699,0.7050946650955054
가방에,3,3,5,15.240042238721388,0.4709761359430075,0.7030282806112609
거부감,5,5,5,13.519955952253646,0.5755406279089119,0.6957501511174377
비타민을,13,14,6,8.201722485523575,0.7059229427688809,0.6951004089739684
상품의,5,7,0,15.333289619204859,0.1437082797341656,0.6938668806783069
고객님의,3,4,0,16.49345047665412,0.16486725294216695,0.6915836244137714
부담,8,8,5,11.36041950721297,0.6519406909055963,0.6865686710628529
타입이라,3,3,5,14.569916096240531,0.5547145349587204,0.6780480086069645
건강을,5,6,5,12.649565821438047,0.6679075368501177,0.6716703496028581
불편을,3,4,0,16.2291599305878,0.16707099215528817,0.6663231537466001
선물,16,17,1,8.550218677424569,0.23692105682482653,0.6634284944891599
몸이,8,8,1,12.718604513207769,0.2956803981036102,0.6439407336877087
건강한,6,6,5,12.34638149316047,0.5789647004407475,0.6364119743780736
개별,3,3,5,14.204629462598144,0.5286596649901323,0.6285863589414629
만족스러운,4,5,0,15.254371396495682,0.1639302599697579,0.6235313657661447
