term_i,term_j,co_count,pmi,npmi,cosine
대비,장점,2,3.917941,0.397564,0.400796
관리,아연,2,3.917941,0.397564,0.517261
독일,사람,2,3.917941,0.397564,0.413384
관리,판매,2,3.748016,0.380321,0.334497
친구,회사,2,3.802464,0.385846,0.622254
명절,일반,2,3.802464,0.385846,0.398726
관리,일반,2,3.596013,0.364897,0.468997
친구,사무실,2,3.802464,0.385846,0.571429
친구,타입,2,3.66496,0.371893,0.554322
친구,치아,2,4.317037,0.438061,0.567367
발생,이용,2,3.432514,0.348306,0.682778
발생,부분,2,3.695549,0.374997,0.4842
발생,이상,2,4.017477,0.407664,0.0
유산균,나이,2,3.917941,0.397564,0.365148
말씀,문의,2,3.954467,0.40127,0.480769
마그네슘,네이처,2,1.870635,0.189818,0.316198
발생,의견,2,4.017477,0.407664,0.426401
검색,독일,2,3.654907,0.370873,0.119217
검색,시간,2,3.780437,0.383611,0.561404
검색,모양,2,3.654907,0.370873,0.576787
말씀,부분,2,3.802464,0.385846,0.82717
평소,일반,2,3.917941,0.397564,0.489388
구미,상큼,2,0.830478,0.084271,0.269965
구미,칼슘,2,0.458509,0.046526,0.158756
모닝,파인애플,2,4.824832,0.489589,0.46155
문의,노력,2,4.654907,0.472346,0.526235
음료,시럽,2,4.654907,0.472346,0.130051
모두,치아,2,5.017477,0.509137,0.056344
이뮨,최근,2,4.824832,0.489589,0.34641
마그네슘,사람,2,1.548707,0.157151,0.509525
마그네슘,의사,2,1.411204,0.143199,0.441645
마그네슘,판매,1,0.70071,0.064553,0.17577
라이브,계량컵,1,3.824832,0.352361,0.211851
신경,며칠,1,4.017477,0.370108,0.606788
비타민 c,아연,1,3.824832,0.352361,0.625543
이뮨,비타민d,1,3.824832,0.352361,0.273861
이상,기도,1,4.017477,0.370108,0.358569
문의,관심,1,3.654907,0.336707,0.307692
센트,약국,1,3.654907,0.336707,0.277885
지인,보이,1,3.654907,0.336707,0.246533
비타민d,함유,1,3.824832,0.352361,0.19518
아연,비타민d,1,3.824832,0.352361,0.481543
구미,관리,1,0.01105,0.001018,0.209352
구미,함량,1,-1.251984,-0.115338,0.109308
마그네슘,기도,1,1.06328,0.097954,0.335451
염증,지금,1,2.695549,0.248326,0.269953
발생,최선,1,3.017477,0.277984,0.444554
검색,모두,1,3.239869,0.298472,0.205196
유산균,장점,1,2.917941,0.268814,0.152277
말씀,관심,1,3.124392,0.287833,0.307692
말씀,제공,1,2.539429,0.233944,0.609449
명절,종근당,1,3.124392,0.287833,0.137199
평소,장점,1,2.917941,0.268814,0.465535
임신,의사,1,2.780437,0.256147,0.341918
원래,기력,1,3.239869,0.298472,0.396059
원래,지인,1,3.069944,0.282817,0.470871
대비,평소,1,2.654907,0.244582,0.151718
관리,비타민 c,1,2.917941,0.268814,0.454794
명절,관절,1,2.802464,0.258176,0.264628
명절,회사,1,2.802464,0.258176,0.171499
친구,함유,1,3.124392,0.287833,0.473286
친구,보이,1,3.124392,0.287833,0.19245
친구,시럽,1,3.124392,0.287833,0.121999
종합,모두,1,2.654907,0.244582,0.251854
칼슘,비타민d,1,2.3654,0.217911,0.42858
발생,말씀,1,2.317037,0.213456,0.585369
입안,치아,1,3.210122,0.295731,0.211702
입안,사람,1,2.695549,0.248326,0.247537
입안,완전,1,2.695549,0.248326,0.0
도스,이상,1,3.3654,0.310036,0.122474
도스,모두,1,3.3654,0.310036,0.366667
이용,최선,1,3.239869,0.298472,0.506584
감기,약국,1,2.124392,0.195709,0.178665
관리,고급,1,2.596013,0.239157,0.219455
관리,장점,1,2.596013,0.239157,0.310356
관리,대비,1,2.332979,0.214925,0.195065
상큼,며칠,1,2.930014,0.269926,0.070866
상큼,엽산,1,2.737369,0.252179,0.199517
상큼,비타민 c,1,2.737369,0.252179,0.260378
상큼,사실,1,2.277937,0.209854,0.214029
상큼,임신,1,2.152406,0.198289,0.21957
종합,비타민 c,1,2.654907,0.244582,0.371591
피로,사람,1,1.29345,0.119159,0.317986
피로,에너지,1,1.29345,0.119159,0.216612
칼슘,판매,1,2.195475,0.202257,0.200189
오메가,지금,1,1.802464,0.166051,0.249286
평소,비타민d,1,3.239869,0.298472,0.537086
타입,보이,1,3.3654,0.310036,0.082061
타입,사무실,1,3.043472,0.280379,0.426401
시간,일주일,1,3.3654,0.310036,0.088302
피곤하다,모두,1,1.398567,0.128842,0.016825
피곤하다,용이,1,1.398567,0.128842,0.524556
함량,비타민d,1,1.654907,0.152458,0.327165
함량,추가,1,1.654907,0.152458,0.292625
함량,비타민 c,1,1.654907,0.152458,0.377778
함량,이뮨,1,1.654907,0.152458,0.316228
함량,부분,1,1.332979,0.1228,0.129777
사실,보이,1,3.3654,0.310036,0.063277
도스,기도,1,3.558045,0.327783,0.243975
개인,용이,1,3.502904,0.322703,0.409197
개인,사람,1,3.180975,0.293046,0.311286
장점,치아,1,3.695549,0.340451,0.091003
장점,파인애플,1,3.502904,0.322703,0.098984
장점,비타민d,1,3.502904,0.322703,0.42135
피곤,용이,1,1.239869,0.114222,0.597453
피곤,지인,1,1.069944,0.098568,0.079599
피곤,새벽,1,0.917941,0.084565,0.074624
피로,장점,1,1.29345,0.119159,0.220043
피로,사실,1,1.155947,0.106491,0.346977
피로,평소,1,1.030416,0.094927,0.180756
피로,친구,1,0.914939,0.084288,0.201008
피로,입안,1,0.808023,0.074439,0.255945
피곤하다,시럽,1,1.398567,0.128842,0.039749
피곤하다,기력,1,1.398567,0.128842,0.414698
나이,최근,1,3.502904,0.322703,0.136931
나이,비타민 c,1,3.502904,0.322703,0.083333
에너지,음료,1,3.332979,0.307049,0.229752
완전,라이브,1,3.502904,0.322703,0.208514
지금,추가,1,3.502904,0.322703,0.355409
새벽,지인,1,3.332979,0.307049,0.487179
아침,보이,1,1.152406,0.106165,0.320393
피곤하다,공복,1,1.076639,0.099185,0.208988
피곤하다,환절기,1,1.076639,0.099185,0.158028
피곤하다,나이,1,1.076639,0.099185,0.276945
피곤하다,입안,1,0.591212,0.054465,0.505743
피곤하다,상큼,1,0.311104,0.02866,0.025451
피곤,비타민 c,1,1.239869,0.114222,0.113918
피곤,약국,1,1.239869,0.114222,0.084025
피곤,기력,1,1.239869,0.114222,0.483312
개인,기력,1,3.502904,0.322703,0.431331
상태,노력,1,3.502904,0.322703,0.26968
상태,최선,1,3.502904,0.322703,0.754434
일반,비타민 c,1,3.502904,0.322703,0.438397
부분,최근,1,3.502904,0.322703,0.059235
구미,네이처,1,0.917941,0.084565,0.150627
구미,최고,1,0.917941,0.084565,0.260845
구미,추가,1,0.917941,0.084565,0.211675
피곤,먹어주다,1,0.917941,0.084565,0.34918
피곤,공복,1,0.917941,0.084565,0.203433
피곤,환절기,1,0.917941,0.084565,0.171473
피곤,나이,1,0.917941,0.084565,0.34952
피곤,피로,1,-0.969584,-0.089323,0.054644
아침,파인애플,1,1.152406,0.106165,0.145583
구미,새벽,1,0.596013,0.054907,0.231662
아침,용이,1,1.152406,0.106165,0.48982
아침,에너지,1,0.830478,0.076507,0.267534
아침,친구,1,0.451967,0.041637,0.254103
아침,피곤,1,-1.432556,-0.131974,0.141558
판매,모두,1,3.654907,0.336707,0.417786
은단,치아,1,3.847552,0.354454,0.122226
은단,모두,1,3.654907,0.336707,0.470016
구미,비타민 c,1,0.917941,0.084565,0.33757
구미,모두,1,0.917941,0.084565,0.348641
회사,용이,1,3.502904,0.322703,0.505964
사람,최근,1,3.502904,0.322703,0.447214
함유,치아,1,4.017477,0.370108,0.368856
최고,치아,1,4.017477,0.370108,0.147542
마그네슘,비타민d,1,0.870635,0.080207,0.360288
마그네슘,사실,1,0.411204,0.037882,0.278136
마그네슘,구미,1,-2.036255,-0.187589,0.136425
마그네슘,종근당,1,0.870635,0.080207,0.141204
