term_i,term_j,co_count,pmi,npmi,cosine
일주일,메이드,1,3.99059,0.410364,0.195646
일주일,용법,1,3.99059,0.410364,0.267652
일주일,야하다,1,3.99059,0.410364,0.39736
예상,발견,1,3.99059,0.410364,0.592999
예상,부드럽,1,3.405628,0.350211,0.0
예상,안되다,1,3.405628,0.350211,0.396297
예상,용법,1,3.99059,0.410364,0.294174
일주일,지키다,1,3.405628,0.350211,0.179969
일주일,지키,1,3.405628,0.350211,0.244558
완전,의사,1,3.0837,0.317106,0.0
리포좀,줄어들다,1,3.668662,0.377259,0.119523
친구,일단,1,3.405628,0.350211,0.433013
친구,보이,1,2.820665,0.290057,0.298142
친구,센스,1,2.405628,0.247378,0.505181
조카,보이다,1,3.405628,0.350211,0.3515
조카,다르,1,2.820665,0.290057,0.363913
조카,다르다,1,2.820665,0.290057,0.406867
조카,보이,1,2.820665,0.290057,0.390195
친구,이면,1,3.405628,0.350211,0.19245
타입,일단,1,3.668662,0.377259,0.625
타입,보이,1,3.0837,0.317106,0.387298
손톱,부드럽다,1,3.0837,0.317106,0.260875
타입,이면,1,3.668662,0.377259,0.166667
완전,센스,1,2.668662,0.274426,0.408248
타입,보이다,1,3.668662,0.377259,0.283473
구미,함량,1,0.705188,0.072517,0.316228
구미,모양,1,0.482796,0.049647,0.106502
피곤,순간,1,3.183235,0.327341,0.087875
피곤,레몬,1,3.183235,0.327341,0.148704
피곤,여행가,1,3.183235,0.327341,0.410365
피곤,증진,1,3.183235,0.327341,0.328798
피곤,지키,1,2.598273,0.267188,0.099136
피곤,나이,1,2.183235,0.224508,0.271244
피곤,비타민 c,1,1.37588,0.141486,0.147043
피곤하다,여행가,1,3.183235,0.327341,0.392232
피곤하다,골드,1,2.183235,0.224508,0.452267
피곤하다,증진,1,3.183235,0.327341,0.353553
피곤하다,줄어들다,1,3.183235,0.327341,0.133631
피곤하다,지키다,1,2.598273,0.267188,0.0
모양,평소,1,2.183235,0.224508,0.177667
모양,제이니,1,3.183235,0.327341,0.514496
피곤,줄어들,1,3.183235,0.327341,0.124274
초등,참고,1,3.405628,0.350211,0.0
지키다,참고,1,3.820665,0.39289,0.363137
입안,장기간,1,3.99059,0.410364,0.301511
입안,과일,1,3.99059,0.410364,0.440386
입안,부드럽,1,3.405628,0.350211,0.0
구비,드니,1,3.99059,0.410364,0.23694
입안,다르다,1,3.405628,0.350211,0.1066
입안,다르,1,3.405628,0.350211,0.095346
