term_i,term_j,co_count,pmi,npmi,cosine
피로,장점,1,1.763994,0.174962,0.256776
피곤,공복,1,1.86353,0.184835,0.334664
피곤,동안,1,2.278567,0.226,0.335659
계량컵,라이브,1,2.670885,0.264912,0.285831
계량컵,프리,1,2.670885,0.264912,0.151717
피로,다양하다,1,2.763994,0.274147,0.905822
계량컵,귀엽다,1,2.670885,0.264912,0.342997
메리,하니,1,3.085922,0.306078,0.521356
피곤,종일,1,1.86353,0.184835,0.304256
피곤,용이,1,1.278567,0.126815,0.183848
피곤하다,동안,1,2.278567,0.226,0.316041
아침,용이,1,0.227941,0.022608,0.111803
아침,에너지,1,0.490976,0.048698,0.339116
구미,귀엽다,1,1.085922,0.107707,0.219529
아침,느껴지다,1,1.227941,0.121794,0.223607
아침,자기,1,1.227941,0.121794,0.357771
구미,모두,1,1.50096,0.148873,0.24697
구미,귀엽,1,1.50096,0.148873,0.219529
구미,바꾸다,1,1.50096,0.148873,0.291272
구미,바꾸,1,1.50096,0.148873,0.331896
피곤하다,용이,1,1.278567,0.126815,0.173103
피곤하다,종일,1,1.86353,0.184835,0.318304
귀엽다,평소,1,3.670885,0.364097,0.282843
귀엽다,로트,1,4.670885,0.463283,0.456435
글루텐,거부감,1,4.085922,0.405263,0.456435
종일,자기,1,4.085922,0.405263,0.298807
지금,우치,1,4.085922,0.405263,0.14825
지금,파우치,1,4.085922,0.405263,0.173422
라이브,파우치,1,4.085922,0.405263,0.076472
장점,관리,1,3.085922,0.306078,0.273009
에너지,음료,1,3.763994,0.373333,0.186501
에너지,자기,1,3.763994,0.373333,0.32969
귀엽다,도전,1,3.670885,0.364097,0.166667
제로,생활,1,3.763994,0.373333,0.455842
제로,하니,1,3.763994,0.373333,0.267261
제로,아들,1,3.348957,0.332167,0.838628
귀엽다,자꾸,1,4.670885,0.463283,0.204124
검색,바꾸다,1,3.50096,0.347243,0.579066
검색,모두,1,3.50096,0.347243,0.381881
어버이날,전용,1,3.085922,0.306078,0.342368
랜드,평소,1,3.085922,0.306078,0.647232
대비,평소,1,3.085922,0.306078,0.255841
장점,생활,1,3.50096,0.347243,0.0
대비,관리,1,3.085922,0.306078,0.355643
장점,평소,1,3.085922,0.306078,0.436436
귀엽다,벡쉔,1,4.670885,0.463283,0.456435
시럽,싸다,1,4.085922,0.405263,0.0
홈쇼핑,하니,1,4.085922,0.405263,0.67082
잠도,바라,1,4.085922,0.405263,0.210819
잠도,바라다,1,4.085922,0.405263,0.111803
글루텐,자연,1,4.085922,0.405263,0.385758
글루텐,느껴지다,1,4.085922,0.405263,0.387298
프리,거부감,1,4.085922,0.405263,0.466252
프리,자연,1,4.085922,0.405263,0.551677
글루텐,느끼,1,4.085922,0.405263,0.433013
프리,잠도,1,3.670885,0.364097,0.65938
관리,다양하다,1,4.085922,0.405263,0.722315
기도,자꾸,1,4.670885,0.463283,0.251976
잠도,느껴지다,1,4.085922,0.405263,0.3
잠도,자기,1,4.085922,0.405263,0.1
잠도,느끼,1,4.085922,0.405263,0.33541
농축,거부감,1,4.085922,0.405263,0.387298
농축,느껴지다,1,4.085922,0.405263,0.0
농축,느끼,1,4.085922,0.405263,0.0
프리,모두,1,4.085922,0.405263,0.147442
프리,느껴지다,1,4.085922,0.405263,0.32969
홈쇼핑,싸다,1,4.085922,0.405263,0.0
프리,느끼,1,4.085922,0.405263,0.368605
관심,다양하다,1,4.085922,0.405263,0.503953
기존,거부감,1,4.085922,0.405263,0.307794
계획,이상,1,3.670885,0.364097,0.352941
계획,바꾸다,1,4.085922,0.405263,0.420084
귀엽,로트,1,5.085922,0.504448,0.456435
평소,귀엽,1,4.085922,0.405263,0.282843
이상,허다,1,4.085922,0.405263,0.808608
이상,바라,1,4.085922,0.405263,0.16169
이상,바라다,1,4.085922,0.405263,0.171499
계획,바라,1,4.085922,0.405263,0.16169
계획,바라다,1,4.085922,0.405263,0.171499
계획,바꾸,1,4.085922,0.405263,0.518563
바라,자기,1,4.50096,0.446429,0.105409
바라다,바라,1,4.50096,0.446429,0.824958
바꾸다,모두,1,4.50096,0.446429,0.204124
활력,딸리,1,5.085922,0.504448,0.0
귀엽,벡쉔,1,5.085922,0.504448,0.456435
동안,생활,1,4.50096,0.446429,0.522233
거부감,자연,1,4.50096,0.446429,0.338062
딸리다,딸리,1,5.670885,0.562468,0.0
