상품명,1회 가격,평점,리뷰 수,__src__,rating_norm,review_weight,가중 점수
부산 울산 양산 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 20회,7920.0,4.88,8.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.976,0.0026666666666666666,0.0026026666666666663
[샐러드 집중관리] 매주 1회 6개 / 4주 총 24개 샐러드도시락 정기배송,6100.0,4.22,37.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.844,0.012333333333333333,0.010409333333333333
[샐러드 집중관리] 매주 1회 6개 / 2주 총 12개 샐러드도시락 정기배송,6100.0,4.69,51.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.9380000000000001,0.017,0.015946000000000002
창원 마산 김해 가정식 다이어트 식단 닭가슴살 샐러드 샌드위치 도시락 배달 새벽 정기배송 10회,7920.0,5.0,1.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0003333333333333333,0.0003333333333333333
창원 마산 김해 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 20회,7920.0,4.67,3.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.9339999999999999,0.001,0.0009339999999999999
부산 양산 울산 샐러드 정기배송 도시락 닭가슴살 식단 구독 배달 새벽 배송 30회,7920.0,5.0,8.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0026666666666666666,0.0026666666666666666
저당도시락 냉동도시락 점심 반찬배달 직장인 아침 저녁 건강 편의점 정기배송 간편 7종9팩,4711.0,4.62,13.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.924,0.004333333333333333,0.004004
포켓샐러드 골라담는 4주 정기배송 주5팩씩 도시락 배달 구독 다이어트 그린샐러드 외 24종,5800.0,4.87,255.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.974,0.085,0.08279
부산 샐러드 정기배송 20회권 단호박 새벽 배송 도시락,7700.0,4.97,216.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.994,0.072,0.07156799999999999
샐러드 정기배송 4주식단 배달 야채 도시락 샐러드 주2회 월화(총 16팩),10200.0,4.82,266.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.9640000000000001,0.08866666666666667,0.08547466666666668
포켓샐러드 1주 정기배송 맛보기 5팩 배달 도시락 구독 다이어트 그린샐러드식단 외 11가지,5660.0,4.91,499.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.982,0.16633333333333333,0.16333933333333334
[풀럽잇] 샐러드 정기배송 2주코스 월수(8팩) 새벽배송 균형잡힌 식단 구독 간편식 도시락,10812.0,4.87,1799.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.974,0.5996666666666667,0.5840753333333333
양많은 볶음밥 컵밥 300g 6종12팩 점심구독 정기배송 아침 저녁식사 2주 식단 배달,4242.0,4.53,15.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.906,0.005,0.00453
[3주 식단] 주1회 10팩 식스밀 단백질 식단 도시락 벌크업 냉동 고단백 직장인 간편 배달 정기배송,10800.0,5.0,1.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0003333333333333333,0.0003333333333333333
대전/세종/계룡 바오프레쉬 샐러드 정기배송 배달 도시락 식단 체험판 (1회2팩),12000.0,4.89,28.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.978,0.009333333333333334,0.009128
[샐러드구역] 부산/양산 샐러드 새벽 정기 배송 본도시락 10회권,9000.0,5.0,4.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,1.0,0.0013333333333333333,0.0013333333333333333
포켓샐러드 골라담는 2주 정기배송 주4팩씩 도시락 배달 다이어트식단 그린샐러드 외 19종,11950.0,4.78,118.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.9560000000000001,0.03933333333333333,0.037602666666666666
[풀럽잇] 샐러드정기배송 4주코스 월수(16팩) 새벽배송 균형잡힌 식단 구독 간편식 도시락,10625.0,4.91,1288.0,도시락_정기구독_상품_정리_from_txt_enriched.csv,0.982,0.42933333333333334,0.42160533333333333
