상품명,가격,평점,리뷰 수,배송비,할인 전 가격,제공 횟수,1회 가격,할인률
[천안아산 샐러드 정기배송] 주 4회 배송 (16회),143900,4.92,25,0,168000,16,8994,0.1435
"(데일리팜)부산,양산,김해 샐러드 정기배송 30회권",207000,4.94,87,0,0,30,6900,0
포켓샐러드 골라담는 2주 채소만 샐러드 정기배송 주5팩씩 야채 배달 구독 다이어트 식단,36000,4.89,108,0,52000,5,7200,0.3077
저염식단 양많은 6종 12팩 점심구독 저염식 단백질 반찬배달 아침 매일 벌크업 식단 저녁,91200,4.81,26,0,114000,12,7600,0.2
[천안아산 샐러드 정기배송] 주 4회 배송 (8회),73500,4.91,23,0,84000,8,9188,0.125
[1+1] 대용량 믹스 샐러드팩 100g x 10팩 신선 채소팩 정기구독 간편식,24400,4.92,13,0,0,10,2440,0
밀투고 식단 정기배송 샐러드 배송 유러피안 샐러드 구독 배달 2주 [주 6개],104400,4.89,28,0,131500,12,8700,0.2061
밀투고 식단 정기배송 샐러드 배송 1주 유러피안 샐러드 구독 배달 체험팩 [주 6개],52800,4.86,63,0,65500,6,8800,0.1939
밀투고 샐러드 배송 식단 정기배송 유러피안샐러드 구독 배달 3주 [주 3개],78300,4.79,28,0,98500,9,8700,0.2051
밀투고 샐러드 배송 식단 정기배송 유러피안샐러드 구독 배달 3주 [주 6개],154800,5,23,0,199300,18,8600,0.2233
핫앤쿡 라면애밥 4개세트 비화식 발열도시락 전투식량 비상식량,16920,4.84,921,2500,18400,4,4855,0.0804
(체중조절식 5종) 블랙컨슈머 다이어트 체중조절식 5팩 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 운동 식단도시락,18900,4.63,8,5000,0,5,4780,0
(닭가슴살도시락 7종) 블랙컨슈머 다이어트 닭가슴살 도시락 1종 포함 식단 7팩 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 고단백 식단,35900,4.6,10,5000,0,7,5843,0
시즌1 냉동도시락 탄단지 6종12팩 단백질 반찬 아침식사 점심도시락배달 저녁 직장인 2주,56200,5,1,0,65000,12,4683,0.1354
(한식도시락 5종) 블랙컨슈머 다이어트 한식도시락 5팩 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 식단,19000,5,5,5000,0,5,4800,0
[라온콕] 네이버_단백짱 A (8팩) 냉동도시락 직장인 양많은 간편식 식단,43000,4.87,31,0,0,8,5375,0
핫앤쿡 비빔밥 4개 랜덤 세트 비화식 발열도시락 전투식량 등산도시락 간편식,16920,4.82,632,2500,18400,4,4855,0.0804
[라온콕] 네이버_단백짱 B (6팩) 냉동도시락 직장인 양많은 간편식 식단,34000,5,5,0,0,6,5667,0
[저스트그린] 유러피안 샐러드 9개입 세트 80g 정기배송 로메인 야채믹스 한끼샐러드,21900,5,1,0,31500,9,2433,0.3048
시즌2 냉동도시락 탄단지 6종12팩 단백질 반찬 아침식사 점심도시락배달 저녁 직장인 2주,56200,5,2,0,65000,12,4683,0.1354
[닭가슴살 스테이크] 단백질 도시락 양많은 간편한 다이어트 식단 직장인 도시락 6팩,47400,5,2,0,58200,6,7900,0.1856
시즌4 냉동도시락 반찬 6종12팩 단백질 아침식사 점심도시락배달 저녁 직장인 건강식 2주,56200,4,1,0,65000,12,4683,0.1354
닭가슴살샐러드 다이어트식단 4종7팩 야채 샐러드 배달 구독 정기배송,59900,0,0,0,90000,7,8557,0.3344
닭가슴살샐러드 다이어트식단 4종4팩 야채 샐러드 배달 구독 정기배송,35900,0,0,0,50000,4,8975,0.282
[돈등심 스테이크] 단백질 도시락 양많은 간편한 다이어트 식단 직장인 도시락 6팩,53400,5,1,0,66000,6,8900,0.1909
[라온콕] 네이버_단백짱 C (6팩) 냉동도시락 직장인 양많은 간편식 식단,34000,4.5,2,0,0,6,5667,0
[치킨함박 스테이크] 단백질 도시락 양많은 다이어트 식단 직장인 냉동 도시락 6팩,48600,5,3,0,60000,6,8100,0.19
[비프함박 스테이크] 단백질 도시락 양많은 다이어트 식단 직장인 냉동 도시락 6팩,51600,5,1,0,63600,6,8600,0.1887
2주 식단 샐러드 주 2회 3개 배송 / 원하시는 날짜 정기배송 가능 (6종류 선택 시 샐러드 총 12개 무료배송),97140,0,0,0,110400,12,8095,0.1201
2주 식단 샐러드 주 1회 3개 배송 / 원하시는 날짜 정기배송 가능 (3종류 선택 시 샐러드 총 6개 무료배송),48570,0,0,0,55200,6,8095,0.1201
2주 식단 샐러드 주 1회 5개 배송 / 원하시는 날짜 정기배송 가능 (5종류 선택 시 샐러드 총 10개 무료배송),80950,0,0,0,92000,10,8095,0.1201
[포크함박 스테이크] 단백질 도시락 양많은 간편한 다이어트 식단 냉동 도시락 6팩,50400,5,5,0,63000,6,8400,0.2
[치킨함박 스테이크 닭갈비 볶음밥] 단백질 도시락 양많은 다이어트 식단 냉동 도시락 6팩,52800,5,1,0,66000,6,8800,0.2
[라온콕] 네이버_단백짱 E (4팩) 냉동도시락 직장인 양많은 간편식 식단,23500,4.33,3,0,0,4,5875,0
(한식도시락+파스타 9종) 블랙컨슈머 다이어트 한식도시락 5팩+파스타 4팩 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 식단,41100,4.5,4,5000,0,4,11525,0
[라온콕] 네이버_단백짱 D (4팩) 냉동도시락 직장인 양많은 간편식 식단,23500,5,1,0,0,4,5875,0
