상품명,상품가(원),배송비(원),총가격(원)=상품가+배송비,1개당 가격 = 1개 가격 + 배송비,리뷰수,평점,별점(5점만점),수량(추정),단가(원)=총가격/수량,리뷰가중치,가중평점,가치점수(단가기준)=가중평점/단가,단가분위
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌1 6종 6팩,39000,3500,42500,6500.0,26,4.58,4.58/5,6.0,7083.333333333333,0.1,0.458,6.465882352941177e-05,"(6853.333, 9692.667]"
덮밥 점심구독 5종10팩 도시락정기배송 아침 저녁식사 배달 단백질 매일 식단 반찬 한달,43400,0,43400,8680.0,59,4.73,4.73/5,10.0,4340.0,0.2,0.9460000000000002,0.0002179723502304148,"(3291.6659999999997, 4367.333]"
4구 단백질 식단 6종12팩 도시락정기배송 현미 반찬배달 매일 아침 점심 편의점 양많은,52900,0,52900,4408.333333,67,4.72,4.72/5,12.0,4408.333333333333,0.2,0.944,0.00021413988657844991,"(4367.333, 5116.667]"
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달 직장인,55900,0,55900,4658.333333,14914,4.76,4.76/5,12.0,4658.333333333333,0.6,2.856,0.0006130948121645796,"(4367.333, 5116.667]"
양많은 냉동도시락 6종12팩 단백질 정기배송 직장인 점심구독 아침식사 저녁 벌크업 식단배달,56300,0,56300,4691.666667,165,4.83,4.83/5,12.0,4691.666666666667,0.3,1.449,0.0003088454706927176,"(4367.333, 5116.667]"
양많은 냉동 도시락 직장인 정기배송 아침 간편 편의점 점심 단백질 블랙라인 10종10팩,52600,4000,56600,5260.0,197,4.77,4.77/5,10.0,5660.0,0.3,1.4309999999999998,0.0002528268551236749,"(5116.667, 6853.333]"
[총 6팩 1/2주 간편 식단 구독] 탄단지박스 고단백 냉장 웜프샐러드,58710,0,58710,9785.0,112,4.9,4.9/5,6.0,9785.0,0.3,1.47,0.00015022994379151764,"(9692.667, 12000.0]"
[총 6팩 1/2주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,60910,0,60910,10151.66667,317,4.82,4.82/5,6.0,10151.666666666666,0.4,1.9280000000000002,0.00018991955343950094,"(9692.667, 12000.0]"
루틴밀10팩 양많은 단백질 냉동도시락 건강식단 벌크업 직장인 탄단지 고단백 헬스 닭가슴살,64540,3500,68040,6454.0,5232,4.8,4.8/5,10.0,6804.0,0.6,2.88,0.00042328042328042324,"(5116.667, 6853.333]"
점심구독 12종 24팩 반찬배달 아침도시락배달 정기배송 한달 저녁 매일 식단 직장인 식사,90900,0,90900,3787.5,66,4.8,4.8/5,24.0,3787.5,0.2,0.96,0.00025346534653465343,"(3291.6659999999997, 4367.333]"
저염식단 양많은 6종 12팩 점심구독 저염식 단백질 반찬배달 아침 매일 벌크업 식단 저녁,91200,0,91200,7600.0,26,4.81,4.81/5,12.0,7600.0,0.1,0.481,6.328947368421052e-05,"(6853.333, 9692.667]"
굿스푼 한달 식단 도시락 24종 24팩 정기배송 구독 단백질 밥 반찬 간편식 배달,95700,0,95700,3987.5,1233,4.8,4.8/5,24.0,3987.5,0.5,2.4,0.0006018808777429466,"(3291.6659999999997, 4367.333]"
양많은도시락 12종24팩 점심구독 도시락배달 한달 정기배송 아침식사 벌크업 매일 저녁식사,103800,0,103800,4325.0,10,4.8,4.8/5,24.0,4325.0,0.1,0.48,0.00011098265895953757,"(3291.6659999999997, 4367.333]"
양많은 한달 도시락정기배송 12종24팩 아침식사 반찬배달 점심구독 저녁 벌크업 매일 식단,109200,0,109200,4550.0,160,4.83,4.83/5,24.0,4550.0,0.3,1.449,0.00031846153846153846,"(4367.333, 5116.667]"
[총 12팩 2/4주 간편 식단 구독] 탄단지박스 고단백 냉장 웜프샐러드,116180,0,116180,9681.666667,134,4.86,4.86/5,12.0,9681.666666666666,0.3,1.458,0.00015059390600791875,"(6853.333, 9692.667]"
[총 12팩 2/4주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,117930,0,117930,9827.5,380,4.83,4.83/5,12.0,9827.5,0.4,1.9320000000000002,0.000196591198168405,"(9692.667, 12000.0]"
[총 24팩 4/8주 간편 식단 구독] 탄단지박스 고단백 벌크업 냉장 도시락,233280,0,233280,9720.0,209,4.82,4.82/5,24.0,9720.0,0.3,1.446,0.00014876543209876544,"(9692.667, 12000.0]"
"부산단백질도시락정기배송 30회,40회 팔팔식단연구소 새벽 구독 건강식 식단 야채 도시락",273000,0,273000,6825.0,153,4.89,4.89/5,40.0,6825.0,0.3,1.4669999999999999,0.00021494505494505493,"(5116.667, 6853.333]"
