상품명,브랜드명,할인 전 가격,판매가,배송비,별점,리뷰수
굿스푼 맛있는 다이어트 식단 고기많은 12종 12팩 정기배송 냉동 도시락 배달 직장인 찜하기,미스터네이처 다이어트,64000,55900,0,4.76,15099
헤비로버 어셈블 남자 벌크업 도시락 510g 양많은 탄단지 단백질 남편 냉동 다이어트 식단 찜하기,,12000,9100,5000,4.82,1046
