토큰,가중빈도
샐러드,36.00000000000004
배달,32.20000000000002
직장인,18.400000000000006
점심,17.6
포켓,17.4
다이어트,13.599999999999996
그린,13.199999999999996
많다,10.799999999999999
단백질,9.2
다이어트식단,8.399999999999999
가지,7.799999999999998
반찬,7.0
아침,6.8
아침식사,5.6
저녁,5.0
단백,4.6
관리,4.4
편의점,4.2
포케,3.6
블랙,3.2
현미,3.0
시즌,3.0
네이버,3.0
컨슈머,2.6
저당,2.6
지방,2.6
가슴,2.4
밥상,2.0
저녁식사,2.0
컵밥,2.0
핫앤쿡,2.0
비화,2.0
발열,2.0
전투식량,2.0
체중,2.0
조절,2.0
단지,2.0
한식,2.0
맛보기,1.7999999999999998
주문,1.2
집중,1.2
스푼,1.0
맛있다,1.0
고기,1.0
완벽하다,1.0
매일,1.0
볶음밥,1.0
오마이,1.0
대용,1.0
가치,1.0
진심,1.0
라면,1.0
애밥,1.0
비상식량,1.0
운동,1.0
비빔밥,1.0
등산,1.0
라인,0.6
감탄,0.6
개월,0.6
린지,0.6
비용,0.6
환급,0.6
돈버,0.6
서울,0.6
홀리,0.6
셔스,0.6
키트,0.6
야채,0.6
코타,0.6
유러,0.6
피안,0.6
포함,0.6
