토큰,빈도
샐러드,31
배달,16
새벽,12
코스,5
야채,5
단백질,5
직장인,5
세종,5
천안,5
패키지,4
데이,4
대전,4
다이어트,4
아산,4
유러,3
피안,3
정기권,3
식스,3
단백,3
계룡,3
구역,3
부산,3
양산,3
아침,3
노화,2
풀럽잇,2
월수,2
균형,2
포켓,2
그린,2
포케,2
주문,2
매일,2
서울,2
점심,2
가슴,2
한식,2
파스타,2
많다,2
부채살,2
함박,2
월요일,1
목요일,1
월화,1
바오프,1
레쉬,1
체험판,1
다이어트식단,1
가지,1
원주,1
다르다,1
블랙,1
컨슈머,1
저당,1
지방,1
체험,1
맛보기,1
투고,1
등심,1
비프,1
포크,1
스테이크,1
김치볶음밥,1
